Артикул,Товар,Категория,Подкатегория,Цена за штуку,Цена за упаковку,Цена за коробку,Кол-во в упаковке,Кол-во в коробке
10002,Стакан-стопка пластиковый 100 мл. Цвет: прозрачный,ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,4.5,450,18000,100,4000
10003,"Стакан пластиковый 200 мл., для горячих и холодных напитков Цвет: Белый",ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,5,250,17500,50,3500
10007,"Стакан пластиковый 200 мл., для горячих и холодных напитков Цвет: прозрачный",ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,3.5,175,12250,50,3500
10008,"Стакан пластиковый 300 мл., для горячих и холодных напитков Цвет: прозрачный",ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,6,480,12000,80,2000
10005,"Стакан пластиковый 400 мл., для горячих и холодных напитков Цвет: прозрачный",ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,7,350,10500,50,1500
10006,Чашка кофейная 180 мл.,ОДНОРАЗОВАЯ ПОСУДА,ФУРШЕТНАЯ ПОСУДА,0,0,0,50,1000
13027,"Крышка d-95 мм., прозрачная с крестообразным вырезом",ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,13,650,13000,50,1000
11115,Крышка купольная с отверстием Цвет: прозрачный,ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,14,700,14000,50,1000
11116,Крышка купольная без отверстия Цвет: прозрачный,ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,13,650,13000,50,1000
11101,"Шейкер-стакан 200 мл., для коктейлей, смузи, десерты, трайфлы и т.д. Цвет: прозрачный",ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,30,1500,30000,50,1000
11102,"Шейкер-стакан 300 мл., для коктейлей, смузи, десерты, трайфлы и т.д. Цвет: прозрачный",ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,38,1900,38000,50,1000
11103,"Шейкер-стакан 400 мл., для коктейлей, смузи, десерты, трайфлы и т.д. Цвет: прозрачный",ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,39,1950,39000,50,1000
11104,"Шейкер-стакан 500 мл., для коктейлей, смузи, десерты, трайфлы и т.д. Цвет: прозрачный",ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,40,2000,40000,50,1000
11005,Крышка без отверстия Cyclyc Цвет: прозрачный,ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,12,600,12000,50,1000
11004,"Крышка с отверстия Cyclyc d-98., ПЭТ Цвет: прозрачный",ОДНОРАЗОВАЯ УПАКОВКА,ВЕДРА И БУТЫЛКИ,11.5,575,11500,50,1000
11006,"Крышка с крестообразным отверстием Cyclyc d-98., ПЭТ Цвет: прозрачный",ОДНОРАЗОВАЯ УПАКОВКА,ВЕДРА И БУТЫЛКИ,13,650,13000,50,1000
11114,Стакан шейкер (Cyclyc) Цвет: прозрачный Размер: 200 мл.,ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,25,25,25,1,1
11109,Стакан шейкер (Cyclyc) Цвет: прозрачный Размер: 300 мл.,ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,28,1400,28000,50,1000
11110,Стакан шейкер (Cyclyc) Цвет: прозрачный Размер: 400 мл.,ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,35,1750,35000,50,1000
11111,Стакан шейкер (Cyclyc) Цвет: прозрачный Размер: 500 мл.,ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,38,1900,38000,50,1000
11105,"Крышка для стакана «Бабл Ти», объемом , , 650 мл.",ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,19,950,11400,50,600
11112,Крышка плоская к стаканам «Bubble Cup»,ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,15,750,15000,50,1000
11113,"Пленка 90 мм., для запайки стаканов «Бабл Ти», 2 кг.",ОДНОРАЗОВАЯ УПАКОВКА,ПЛАСТИКОВЫЕ КОНТЕЙНЕРЫ,7200,18720000,86400,2600,12
11106,Пластиковый стакан для «Бабл Ти» Цвет: прозрачный Объемы: 375 мл.,ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,37,18500,740,500,20
11107,Пластиковый стакан для «Бабл Ти» Цвет: прозрачный Объемы: 500 мл.,ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,30,15000,600,500,20
11108,Пластиковый стакан для «Бабл Ти» Цвет: прозрачный Объемы: 650 мл.,ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,45,22500,1125,500,25
